x,cdf(x),ccdf(x)
-222,1.71401300497790174080393803039684755933494122788225267758889222174001247425802022526699442581889440242986778947089501298777142435533384642842634620891e-6335520,1
-221.5,2.71008335844102666497912271095664275906807976478388289326078084304924285465215654331863527194239746186379980688973199285143933583629033030497962678478e-6292809,1
-221,1.735797355216590507048561867071164017549202955944084502761206774273110085177222831177005949655458926351717783473748984881855879384755023962679359555402e-6250290,1
-220.5,1.224215090244852224451848864178246556630013182344434251875014553172619825945653675939891075973038253036610925074514833339425879918130102814176511298991e-6207963,1
-220,2.584361514440875111287384230646533526277020503435447785745303775775654435671998636111898012380160492202364489078754430487177251834559283235030038194295e-6165828,1
-219.5,4.438948730709157459259184598003818712477613796775039768407874019283085530793599595443513346079326475487650893707264246946759103753414354140263253636666e-6123884,1
-219,1.686292147684239878694415009891127846377552911406051714902744208591438614171048104970947622277665575534366396495020367652790838986841987325421862090973e-6082130,1
-218.5,3.851286510231512690589778086852192293743525937965670056328682419140962403047627509811068341729297710372257201083288312137385228742267904736175324366572e-6040567,1
-218,1.437453017086159011024373267396315630756669167487804862411744178186447958743789299324163847447613419922803986015039133888927013340917151545100871451141e-5999193,1
-217.5,2.383366365119660283883948687623695770600194673867836040010227105289257318239070744059476017719681429521895519099456680226047357773305506747618114164974e-5958009,1
-217,4.771904771894747762187741237239450380628519948257983091073765791254215087465481738284816213699343593641780657841110920270190709086736812111002680400166e-5917014,1
-216.5,3.136108236212486797257408707105665583939996121307496849551089487035863705215096862553828780921972418239270882347609989010482234997016176050973580986558e-5876207,1
-216,1.83900592395894325997835092998483743951939953609282461578116703304838066693811626658713918824190043645510248387883033667679073980631919507291352240785e-5835588,1
-215.5,2.615546960293515850719804307386353330823595156862358774465850801030861306048125902608079300903637167044627654058900673631889496357795813676171462468454e-5795157,1
-215,2.452583047944129215137422683928546472598655526400950822321294677771262275934188819217564520315071307023132564041818154832714502347332081174991474268678e-5754913,1
-214.5,4.121556210420905245533044904650794325259934266155946572223455024804505132468119687297337605450153774797333776640097216479185647624889934050235299955104e-5714856,1
-214,3.374190011260659772432237817667791442746194489414975956905108221873364436298039445580002432976286138047741241479308050385352986203548322297386901910084e-5674985,1
-213.5,3.657995318229261414588058931996690715246654213182235166201261083522796793348011454104207450219497584455422886297725454860552971428672401016537930648927e-5635300,1
-213,1.427501441193665706378810424134526312966684842675640588503856118797263132692675084046814299444458585648341622353804594778343272551830943954294322637196e-5595800,1
-212.5,5.450850418822340057275636271230426991346003319240539810997275999123311984228124444205901942755951478451077789214070147959083570858551312207449629443343e-5556486,1
-212,5.536059779565683078582390289881474659906597767583290831881750783396559078786657578704274029158044887918454316871019553741803101227462771629051841981193e-5517356,1
-211.5,4.065187434019842632546737631951772251651416801353929983691575377079910859174631698608452831345520750974308493157803388058457995652315519726483928783699e-5478410,1
-211,5.866757990886719221131057653325532267230016035839376880015469190919375794634756819165370837897370156795291046895037377858665721746615694515862934130243e-5439648,1
-210.5,4.523223708710929093087987426010047668080230259875407714445542538997601765375758832543784817914689811991650349277167158947134281551917930120019213237003e-5401069,1
-210,5.064362166454181751669987248718936281508085130887538853980624121542893072405168233147765574980583334287859835497177862060974405739575715020729677061161e-5362673,1
-209.5,2.238322897806812735415157186603117192519659180057774785315590579785614109948196187188069984594310024541031954666290926427582026459960653745499291070615e-5324459,1
-209,1.061540364187246446881319167600312688436428357550222130138727627280359275826157608378299134313176269381329719926995144485972213967760417999373109847085e-5286427,1
-208.5,1.468454790339571709750385991160049331494243914306691116512792342506070192981823875640096933669681084020296772791624353182595405038418481889360706038268e-5248577,1
-208,1.610606475432485238012728896100265054774217261616834070636459417436006301050081835237083339501565000369007252023392250720312108883634530077271405774124e-5210908,1
-207.5,3.807304340405502026373275938748685975288872428248119246632202725447140075514214008273083010640626083602001238531336958118277806284540170302197145583511e-5173420,1
-207,5.27277864466230853793433079827274754038647191617454396445401978330151769755103027767808258832222480601640986426542976715174791480194866947076811530519e-5136112,1
-206.5,1.162919835855712854208531911136392092782563177842239312168161820894036552232702549473644064849764333638381230364186448783184774635061192312892053106076e-5098983,1
-206,1.110306315540047232284988352165145165973992170872028589368442913407146482559712828652507136750914927664026901133260611562100038287642511939710462771951e-5062034,1
-205.5,1.247421243004664784820180202225992212521265546196973461569544475334208426102769853228557081012818426921363466358687049167649162949932076365766924007728e-5025264,1
-205,4.482860818710045686464589469488124966103857796302908821614480533801961296756024113592548488578326073015316047805411318078918074460126607987954004243785e-4988673,1
-204.5,1.40075980169009930510607371410305534423447269093680372834124074829090795724874228468731559472993680157494755294995139326741155894788328672715633144235e-4952259,1
-204,1.034505682807418896103921230205356193768779229130239222782673500329037958464113429368028369247887037276415401178393141703226549218126856779439124772069e-4916023,1
-203.5,4.908597119699351773470308209615246262423766208086622092232025780414248718151089494627827291345734243763598898337969504903230774120704811810505728358509e-4879965,1
-203,4.067538700970844223222448088794810533800467586615075695900156152587617199770793118355942899981579998748934200706277606925968989993679631289555801766039e-4844083,1
-202.5,1.600111692222115221418919841129297168719591919635446933926701163438714559023081209825026272648153875121812493570230483570979886990751560395924899958137e-4808377,1
-202,8.122836363792447822786630535091836866492711604320043206780573712823408369815759903207432847192024947685084040277567506545698495840141338214338972830089e-4772848,1
-201.5,1.446433302720823611974211124049537976690484566057351620539486870323259746590256514576333453272347940706648778759049957177953261138756309580763149329549e-4737493,1
-201,2.455935318322012301117903918013616592654702876068632236697879508365684802362347104360951700127868878536983401987727106065551229310511305623882307501247e-4702314,1
-200.5,1.080830876546524312953763791026572164636129922335900983018447689961653898578158386242469918294277577803194484475886713943559789680730065328641793776791e-4667309,1
-200,3.351315916196918335424940887942437001062224995762784191964971170088927784341112025511334370866825740937640469627423340399924881083543349149766605618886e-4632479,1
-199.5,1.990143101656120945893805929805657778602008285899583993627639077421059856671636112701110668221500342324468457122654148014536983615708461703990964064981e-4597822,1
-199,6.152605290530142288552843325773741886705930651185000949133490375430032102460848311359288753011831887880225047088792382507598051722328707306109379130572e-4563339,1
-198.5,2.691746262233903517242671917621541886513888215277453126528349121863259238621624712750533237608975518078644881535426976421755042256227823754594768608704e-4529028,1
-198,4.530060482052235773159202275981670998542051499718084115196466132322511425976962159936830089308569294741712327862221844851595247502552940093067833597437e-4494890,1
-197.5,7.971924972634559758179419782719472527114034650915002836511712841114352339658797675492168175721347102014069755060174196488038020257052114923145491302754e-4460924,1
