x,pdf(x)
-205.5,2.107156528948547844147799737265924770357663423647833130700309752765196330950666460356955747790607044241413737409564738115107232085525464790344242844369e-5025259
-205,7.535689364265766076786696356698224415779786557107000695288274890164810376340870010578567565979303385064646196252744069840162956914014469782236717257668e-4988668
-204.5,2.343205106610424236656358905962861033113830744989555501072776186916270436982267347429527467111297630457210136738445502744315244776549086979227583189237e-4952254
-204,1.722079615895129768686409130321754463204394812991311728644479644126150795104965585424377857844724356318722948379968563355321567860786525091448360320248e-4916018
-203.5,8.131042404623804314479287924860559148944589395507732243273401793503170373131782072710839597633274819081192302768781246210311594681513714260670411766522e-4879960
-203,6.704768393689322204225928615646818682111886106769932204529823060600472138758398600659833757249590831379698913485327309626862405514021144606684786282773e-4844078
-202.5,2.624583321694106397736443170183198134741679062457995718666632641438626497015894112596336130785766677107883756091123318519510222630557490475469274492113e-4808372
-202,1.325776920270834790588837386818522857380299666713811479187079553593903913181444538231285864563839844508874916506360405070299729594847188701176813190033e-4772842
-201.5,2.349137970290788783999516016637581215160771840834945953978103713915678059743807012683843217455549342412628215992262888580866170264674372132795616088625e-4737488
-201,3.968889895099843870956477994975342284598234285953489104298372771210307009455398310940083593150367446109540971753585358021105079701389486547652842978417e-4702309
-200.5,1.737986938655734782079595378280957929228075181725078983376247507468569395770608796490448492717085680910063103143955857184576909072494770426720455597769e-4667304
-200,5.362105717263740796621679192528250370545470652736605354643069158032990409331605122061626490173246794455895685671649154999321782423075952941292637498172e-4632474
-199.5,3.168327868902367431685955435273803911322952905306170193464427703747520088780166011190756029485032193341924269997281685559532903863768477969590165267978e-4597817
-199,9.745973348175542785320773505733002813337190301800452417292775953583915181122521209993604960350442586807427556407618551498463626139401094662759137861695e-4563334
-198.5,4.242434569850733129882227123977438091511976677030431044421124975816348169719352005993740760873315364164185100701816970308008961018473555132194808841818e-4529023
-198,7.10385998872140288909223156512373546639759364598110348877586401760461914809900301242946353827322811022079851504928976408917140702960324152511183827771e-4494885
-197.5,1.243819654401567234185000273217066138750033229863969716615288161779409557319314178650605425172514988029468929086399284331017716428955197500352841291099e-4460918
-197,6.190114657632391259410441699300801532287355897173014307100883756011914934925028739679368917300534716349518793345173899506953768134263261781371297633153e-4427124
-196.5,2.380195901256874762554658845863474783984948154269972687751877590548868178991574215115019827187534044264876699652008493497334167699756182972264172950024e-4393500
-196,1.922179400237960290298640166766707802515169748426748230803239004356010104946049665439136863208834243611971557899587477992778453902888588287059732348701e-4360047
-195.5,8.862103444657504938071857470488717597020924236079415285900396197538997372219116458648715999499574296022542924991519436301169113425556320497443479651641e-4326765
-195,6.340680454930389486690655958593900845967751625214450483440091292237374266160387595650201242681014078448063489245597061198404069462392763605646774020572e-4293652
-194.5,1.913751521567842791170901556203920114007921055879425457825984452733078173678581659381355418084075121313180185529509152655309909495195407048042056259741e-4260708
-194,6.62339011543313324546029551422842329694242495743485618287116210786760442558907756250458386489112163195140136869208186345460387955556960044997178920061e-4227934
-193.5,7.145205129144556811147972326772106471286787033326752421550448897200707949933548528772274172604279985531563486969432906332520872668349556763210021274453e-4195328
-193,6.531051683725593201198627369121219770270544583171995317097194875814008243801692205195170125655509440028354517053262186177330044725272995911073506964245e-4162890
-192.5,1.374928352849447947938001923967470916430638891128109654927207465799415725902658086081148742552419154718503481879350022635703857824601743580635659980573e-4130619
-192,1.812174509642564721150395547442432746435522453852964899203059353876034021765640585924363295803209845928216358118503584531558322573522272713398612353835e-4098516
-191.5,4.064783726927486769256381332562258819212150157066104444787260437161335601496917907418637216889168470756922208073333581983041663189648331134181367751798e-4066580
-191,4.217808133413491947489094058814661206608832374078905489984877768662483170839592770539996949809600493093501346340189993464739659546972884704901096742641e-4034810
-190.5,5.503546263151303441251502336861373963103579646307704055362778883419471303099640558350320724290834641471973439312841845533518587585118454184997899601675e-4003206
-190,2.454705083877888976221665868591458426062053982342816958583734704970183308779647539864928603687840011944624587158904457961653097950358396719571775640198e-3971767
-189.5,1.017305507202316797518030184856156302511477113542367879537302751253749771199288761709401198982550780026722218169891055804324999369277220432251783552527e-3940493
-189,1.064861967247571559419412105668974841322392043852886727168321338232608737020073967506616913246364657967233298828778466223685613640825535046963848556917e-3909384
-188.5,7.652785792247390780386664727784357734127228975483745962294310290619816171152197248519110966789398497338722563732656218679354385936870241773467287904814e-3878440
-188,1.026418788452787277576874149587945728665430670856344492283253660428108911854627260693002520977723183213741530969609752639333939220041570014488120579149e-3847658
-187.5,6.983978559819464443979436819114808797296886539725230452740563474907292313825676715308723301181520468782631877611612865876786508044597997022060350383254e-3817041
-187,6.553132419959756992204053863372702705416142282463813607121389871428422435027036440359821485223323720940201506209634676579579669023193991251375014309874e-3786586
-186.5,2.304927163422958560284484514462906777348248724902693925210012918570022535915639701661528962925999456241569530714235515443542123877790707056836997899985e-3756293
-186,8.260800948623002519759265688500413937847949887066467057483135811745954596358834171310343973092909285113489362251843061631042364302370603882697435437907e-3726163
-185.5,8.200461082663361472493941110257875077680584577567413820669611049763538597086315822962688785658510416198240027674832155108734078056467574010261163812011e-3696194
-185,6.129146788082363220950247959095665375409982938553929331995727539411594945440835685600896923343227299686146679732542763898104451417273052499209463616768e-3666386
-184.5,9.375660712747636049871587330522288569419197931542555561318442446143103739775245206982541696077287883648607787231987838594842704501877399574401396583098e-3636739
-184,7.978813719703591766635848123789378023080857404204068504777393371851049502067555088555457006310971375562749855002040006769307302746093712527451737677089e-3607252
-183.5,1.026842475469549651804658301370254091844195866603782314276206104072850702645093162720463981184104435402859401278925013771859173075615823850164668123758e-3577924
-183,5.432413922102390389332107661913928390320216567862823587410243071771282046919457679158516608808798556707431691566185699806824628584488744104771601353189e-3548757
-182.5,3.211440532669239540998758165956089711390104998852479571002817360566503442503934248066105760616579566341012978802807032528273324779459856726164315758655e-3519748
-182,5.766594198675499096058898665374146490291563657697797982494455805938032381448836196477282942174165235542126764395616528723506858632852701695829104591197e-3490898
-181.5,8.549600963326542097781772406335956208316200568170215490767077752461729562985313511975371092869765696312649944303792946483560992372114006669864038103683e-3462206
-181,2.844943993049923791022465514360583731234950690537939542544725927938684268073328379167858363301398168200029526056445086279640563800726241858151484054804e-3433671
-180.5,5.775605094579722668436392751027377106184951073179854852832067606233867623823055265448046234954924718934717875536624027743042093664695808450355026354013e-3405294
-180,1.944516475583390507937810588080330916756070673102410215589014094799463448389349507977401399736672157766483742340147444815829195449246324313217165394471e-3377073
-179.5,2.951281278672680110900630757630993073062100412366331113943225794248192434087086060247138495274533715489401547633563175827426706871554601987391555124673e-3349009
-179,5.488945143586262611241096717665365148983310836924390742892563079267604445927446115941553625063912873213886922793400400484810693735713370236552559515844e-3321101
-178.5,3.400485774513957547844815248369135020755188372257291762255917280951406917280026926985915249184000922236650556675765268435228386931262486473690200981197e-3293348
-178,1.907485700781377505750466460121808379577000187316893586308706713262619726347765797168599273977273461056469687870456296594661440790634010397414630876521e-3265750
-177.5,2.633566860955758051803228209823880611703034207786956465882197462380542581321891881404251572350396867882614291997704736417676065556656690692546328844026e-3238307
-177,2.432677888382453004177739086750830412678323232668792749461343567790235054121368006096910919522566922039550171758219854424106039469788070841562801962149e-3211018
-176.5,4.086735591301350617764331392439668303289863018842893391816754031150028229124545016633661224225884432605700023266260046908350423131092811917826784832486e-3183883
